Athlete,Team,Score,Remark,Form
MANABE Katsumi Derek,USA,8.5,,. Men's Fanziquan-Group D
CAO Shuai,CHN,8.9,1ST Prize,. Men's Shaolinquan-Group D
GAMBINO Michele,ITA,8.78,1ST Prize,. Men's Shaolinquan-Group D
MATHIOPOULOS Dimitrios Ioannis,GRC,8.76,1ST Prize,. Men's Shaolinquan-Group D
TRAIZE Arstan,KAZ,8.7,2ND Prize,. Men's Shaolinquan-Group D
KHURSHEDZODA Mirzodalerkhon,TJK,8.69,2ND Prize,. Men's Shaolinquan-Group D
GU Nicolas,FRA,8.66,2ND Prize,. Men's Shaolinquan-Group D
TEO Chee Wei,SGP,8.66,2ND Prize,. Men's Shaolinquan-Group D
REVA Roman,UKR,8.65,2ND Prize,. Men's Shaolinquan-Group D
BABENKO Alexey,KAZ,8.63,2ND Prize,. Men's Shaolinquan-Group D
RESENDE DE SOUSA Bruno Miguel,PRT,8.61,3RD Prize,. Men's Shaolinquan-Group D
KESKIN Ahmet Taha,TUR,8.59,3RD Prize,. Men's Shaolinquan-Group D
IANA Mihail Alexandru,ROU,8.59,3RD Prize,. Men's Shaolinquan-Group D
TSIKRIKAS Konstantinos,GRC,8.59,3RD Prize,. Men's Shaolinquan-Group D
GRABOVSKIS Aleksejs,LVA,8.59,3RD Prize,. Men's Shaolinquan-Group D
NITAS Laszló Oliver,HUN,8.58,3RD Prize,. Men's Shaolinquan-Group D
IOANA Marius Andrei,ROU,8.57,3RD Prize,. Men's Shaolinquan-Group D
TIBIRIÇÁ BATATA Victor Matheus,BRA,8.56,3RD Prize,. Men's Shaolinquan-Group D
Devante DARNELL-HAZLE,GBR,8.55,3RD Prize,. Men's Shaolinquan-Group D
ESSID Ahmed,TUN,8.55,,. Men's Shaolinquan-Group D
MURSZEWSKI Maksymilian Grzegorz,POL,8.54,,. Men's Shaolinquan-Group D
Connor James BLACK,GBR,8.54,,. Men's Shaolinquan-Group D
JURAEV Abbos,TJK,8.54,,. Men's Shaolinquan-Group D
MOUSTAFA MOUSTAFA Abbas Abbas,EGY,8.53,,. Men's Shaolinquan-Group D
BELLOUMI Jihed,TUN,8.53,,. Men's Shaolinquan-Group D
PETOCZ Levente,HUN,8.5,,. Men's Shaolinquan-Group D
KUKARI Bonham Jayden Jimmy,ZAF,8.5,,. Men's Shaolinquan-Group D
YANG Xinhua,CHN,8.49,,. Men's Shaolinquan-Group D
BERRY Adam James,ZAF,8.48,,. Men's Shaolinquan-Group D
VERHEYEN Jonathan,BEL,8.48,,. Men's Shaolinquan-Group D
DZIECIELSKI Jakub,POL,8.46,,. Men's Shaolinquan-Group D
CORREA IXTEPAN Diego Armando,MEX,8.42,,. Men's Shaolinquan-Group D
SAREER KHAN Zadran,AFG,(DNS),,. Men's Shaolinquan-Group D
Mame Birane KANE,SEN,(DNS),,. Men's Shaolinquan-Group D
TABAROV Fotekh,TJK,(DNS),,. Men's Shaolinquan-Group D
LIM Giovanni Moses,PHL,8.7,1ST Prize,. Men's Tanglangquan (Mantis Style)-Group D
GARCIA MAZUECOS Francisco,ESP,8.67,2ND Prize,. Men's Tanglangquan (Mantis Style)-Group D
SZATAI Zoltan,HUN,8.6,3RD Prize,. Men's Tanglangquan (Mantis Style)-Group D
ZEDDA Valerio,ITA,8.56,3RD Prize,. Men's Tanglangquan (Mantis Style)-Group D
ANDERSSON Ted Fredrik,SWE,8.51,,. Men's Tanglangquan (Mantis Style)-Group D
KOLISNYK Oleksii,UKR,8.73,1ST Prize,. Men's Yingzhaoquan (Eagle Style)-Group D
LIRA LUNA Javier Arturo,MEX,8.65,2ND Prize,. Men's Yingzhaoquan (Eagle Style)-Group D
LIRA ACOSTA Jesus Alfredo,MEX,8.61,3RD Prize,. Men's Yingzhaoquan (Eagle Style)-Group D
GOMEZ RODRIGUEZ Angel Julian,MEX,8.6,3RD Prize,. Men's Yingzhaoquan (Eagle Style)-Group D
LEZAMA LUCERO Luis Antonio,MEX,8.5,,. Men's Yingzhaoquan (Eagle Style)-Group D
MOREIRA DE ARAÚJO Fabio,BRA,8.45,,. Men's Yingzhaoquan (Eagle Style)-Group D
BEROUTSOS Charalampos,GRC,8.39,,. Men's Yingzhaoquan (Eagle Style)-Group D
OLIINYK Andrii,UKR,(DNS),,. Men's Yingzhaoquan (Eagle Style)-Group D
HUYNH Christoph Ngoc-Son,DEU,8.76,1ST Prize,. Men's Xingyiquan-Group D
CHOONG Chee Wei,MYS,8.72,2ND Prize,. Men's Xingyiquan-Group D
AKYUZ Necmett?N Erbakan,TUR,8.7,2ND Prize,. Men's Xingyiquan-Group D
RAJPUT Rajat,IND,8.66,3RD Prize,. Men's Xingyiquan-Group D
BHATI Shivam,IND,8.65,3RD Prize,. Men's Xingyiquan-Group D
DU PLESSIS Alexander Dirk,ZAF,8.54,,. Men's Xingyiquan-Group D
CUI Trevan Jiaheng,USA,8.49,,. Men's Xingyiquan-Group D
PODAKANTI Satyajith Chary,IND,8.46,,. Men's Xingyiquan-Group D
BOUTOUBANE Yassine,DZA,(DNS),,. Men's Xingyiquan-Group D
WANG Dian,CHN,9,1ST Prize,. Men's Other Barehand Routines-Group D
GAO Sen,BOL,8.95,1ST Prize,. Men's Other Barehand Routines-Group D
ZHANG Yuyang,CHN,8.81,1ST Prize,. Men's Other Barehand Routines-Group D
DE OLIVEIRA MANACERO Miguel,BRA,8.72,2ND Prize,. Men's Other Barehand Routines-Group D
WONG Yu Wen,MYS,8.69,2ND Prize,. Men's Other Barehand Routines-Group D
KOW Zer Xuan,MYS,8.67,2ND Prize,. Men's Other Barehand Routines-Group D
ZHYVOTOK Heorhii,UKR,8.66,2ND Prize,. Men's Other Barehand Routines-Group D
ARISTIDE Julien,FRA,8.64,2ND Prize,. Men's Other Barehand Routines-Group D
JANGID Nakshatra,IND,8.63,2ND Prize,. Men's Other Barehand Routines-Group D
NITAS Kevin Janos,HUN,8.61,3RD Prize,. Men's Other Barehand Routines-Group D
HASHCHUK Artem,UKR,8.61,3RD Prize,. Men's Other Barehand Routines-Group D
GORSKIS Aleksandrs,LVA,8.59,3RD Prize,. Men's Other Barehand Routines-Group D
BALOGH Barnabas,HUN,8.57,3RD Prize,. Men's Other Barehand Routines-Group D
KOJIMA Ryuhei,JPN,8.57,3RD Prize,. Men's Other Barehand Routines-Group D
MURATBEK UULU Edil,KGZ,8.57,3RD Prize,. Men's Other Barehand Routines-Group D
SINGH Lokender,IND,8.56,3RD Prize,. Men's Other Barehand Routines-Group D
MO Don Hao,USA,8.56,3RD Prize,. Men's Other Barehand Routines-Group D
DIMEGLIO Charlene Jasmine,USA,8.55,3RD Prize,. Men's Other Barehand Routines-Group D
DAO Vi Dat,VNM,8.55,,. Men's Other Barehand Routines-Group D
COLLADO SAIZ Francisco,ESP,8.54,,. Men's Other Barehand Routines-Group D
FLORES PACHECO Jonathan Eber,MEX,8.53,,. Men's Other Barehand Routines-Group D
AYDINYAN Aram,ARM,8.51,,. Men's Other Barehand Routines-Group D
DI BENEDETTO Claudio,ITA,8.51,,. Men's Other Barehand Routines-Group D
Brandon Lee SANDALLS,GBR,8.5,,. Men's Other Barehand Routines-Group D
TOMÁS BARROSO Tiago,PRT,8.48,,. Men's Other Barehand Routines-Group D
Daniel John Joseph SHAW-ABULAFIA,GBR,8.47,,. Men's Other Barehand Routines-Group D
LEGASPI Regin Ryan Ralleca,AUS,8.44,,. Men's Other Barehand Routines-Group D
WILCZY?SKI Maciej Bart?Omiej,POL,8.39,,. Men's Other Barehand Routines-Group D
MONYAMA Maile Elvis,ZAF,8.32,,. Men's Other Barehand Routines-Group D
SUI Tianqi,CHN,8.07,,. Men's Other Barehand Routines-Group D
PAPAEFTHYMIOU Konstantinos,GRC,7.7,,. Men's Other Barehand Routines-Group D
AKYUZ Necmett?N Erbakan,TUR,(DNS),,. Men's Other Barehand Routines-Group D
NASR IBRAHIM Taw?k Mossad Salem,EGY,(DNS),,. Men's Other Barehand Routines-Group D
WONG Cho Wai Gabriel,HKG,(DNS),,. Men's Other Barehand Routines-Group D
RADULESCU Dan Mihai,ROU,(DNS),,. Men's Other Barehand Routines-Group D
SCHUR CHEN Annie,FRA,8.62,1ST Prize,. Women's Other Double-Weapon Routines -Group A/B/C
MENA TORRES Michelle,MEX,8.58,1ST Prize,. Women's Other Double-Weapon Routines -Group A/B/C
BRAYTON Mariella Tsan-Ling,USA,8.57,1ST Prize,. Women's Other Double-Weapon Routines -Group A/B/C
MARCEL Daniela Mckenzie,USA,8.56,2ND Prize,. Women's Other Double-Weapon Routines -Group A/B/C
ZHAO Hailey Hu,USA,8.54,2ND Prize,. Women's Other Double-Weapon Routines -Group A/B/C
VAN DER MESCHT Kitana Cora,ZAF,8.52,2ND Prize,. Women's Other Double-Weapon Routines -Group A/B/C
HUANG Susie,HKG,8.52,3RD Prize,. Women's Other Double-Weapon Routines -Group A/B/C
TOUROUTSIKA Christina,GRC,8.49,3RD Prize,. Women's Other Double-Weapon Routines -Group A/B/C
LEONG Wai Lam,MAC,8.47,3RD Prize,. Women's Other Double-Weapon Routines -Group A/B/C
DING Sabrina,USA,8.45,3RD Prize,. Women's Other Double-Weapon Routines -Group A/B/C
CHEN Haoran,SGP,8.45,3RD Prize,. Women's Other Double-Weapon Routines -Group A/B/C
SHIBATA Riin,JPN,8.43,,. Women's Other Double-Weapon Routines -Group A/B/C
BANCOS Ema Alexandra,ROU,8.42,,. Women's Other Double-Weapon Routines -Group A/B/C
PANAGOPOULOY Kyriaki,GRC,8.42,,. Women's Other Double-Weapon Routines -Group A/B/C
CHONG Shin Yu,MYS,8.41,,. Women's Other Double-Weapon Routines -Group A/B/C
DUMITRU Ana Maria,ROU,8.34,,. Women's Other Double-Weapon Routines -Group A/B/C
GORDON Ayla Nunnehi,USA,(DNS),,. Women's Other Double-Weapon Routines -Group A/B/C
AKYUZ Ayse Sude,TUR,8.7,1ST Prize,. Women's Shuangjian -Group C
WONG Man Ting,HKG,8.64,2ND Prize,. Women's Shuangjian -Group C
HUANG Sophie Qianshu,USA,8.55,3RD Prize,. Women's Shuangjian -Group C
JRIBI Chourouk,TUN,8.53,3RD Prize,. Women's Shuangjian -Group C
LY Elva Elizabeth,USA,8.51,,. Women's Shuangjian -Group C
LI Winifred Zhen Ping,USA,8.49,1ST Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
LIM Verna,MYS,8.48,1ST Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
ARUTYUNJAN Aurora,HUN,8.47,1ST Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
WU Kai Yee,HKG,8.42,1ST Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
KONG Yean Thong,MYS,8.41,2ND Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
KARMEN ADEL Rashad Khater,EGY,8.4,2ND Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
SYAIDHA Hajarah,MYS,8.38,2ND Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
TRAIZE Arina,KAZ,8.36,2ND Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
SILVA VIANA Layla Ketelen,BRA,8.35,3RD Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
ARUTYUNJAN Adelaida,HUN,8.34,3RD Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
HAO Cindy Yuan,USA,8.33,3RD Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
ARAUZ NIEVES Luciana,MEX,8.31,3RD Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
MATOS RODRIGUES Ana Carla,BRA,8.29,3RD Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
BREZETOU Lydia,GRC,8.27,3RD Prize,. Women's Other Single/Soft-Weapon Routines-Group A/B
JIN Yinuo,CAN,8.25,,. Women's Other Single/Soft-Weapon Routines-Group A/B
ILIE So?a Maria,ROU,8.21,,. Women's Other Single/Soft-Weapon Routines-Group A/B
HUANACUNI PINEDO Pakari Nayra,BOL,8.11,,. Women's Other Single/Soft-Weapon Routines-Group A/B
SILVA CONCEICAO Lorena,BRA,8.1,,. Women's Other Single/Soft-Weapon Routines-Group A/B
SHEN Caitlyn,USA,6.55,,. Women's Other Single/Soft-Weapon Routines-Group A/B
CHANDRASEKARA JAYARATHNA MUDIYANSELAGE Gimhani Akarshana Bogollagama,LKA,(DNS),,. Women's Other Single/Soft-Weapon Routines-Group A/B
LUU Pham Thanh Thanh,VNM,8.56,1ST Prize,. Women's Dao (Broadsword)-Group C
MAXUTOVA Zarina,KAZ,8.49,2ND Prize,. Women's Dao (Broadsword)-Group C
BASSI Giulia,ITA,8.47,3RD Prize,. Women's Dao (Broadsword)-Group C
WONG Zhong Wei,MYS,8.46,3RD Prize,. Women's Dao (Broadsword)-Group C
MARRA Lara,ITA,8.45,,. Women's Dao (Broadsword)-Group C
AVAGYAN Siranush,ARM,8.44,,. Women's Dao (Broadsword)-Group C
MICHOU Despoina,GRC,8.4,,. Women's Dao (Broadsword)-Group C
PUZIS Nikol,ISR,(DNS),,. Women's Dao (Broadsword)-Group C
BALASOVA An?sa,LVA,8.69,1ST Prize,. Women's Gun (Cudgel/Sta?)-Group C
FOTINOGIANNOPOULOU Konstantina,GRC,8.66,1ST Prize,. Women's Gun (Cudgel/Sta?)-Group C
BERIY Michal,ISR,8.65,2ND Prize,. Women's Gun (Cudgel/Sta?)-Group C
MALAK MOHAMED Omar Montasser,EGY,8.6,2ND Prize,. Women's Gun (Cudgel/Sta?)-Group C
HOANG Vy Yen Nhi,VNM,8.59,2ND Prize,. Women's Gun (Cudgel/Sta?)-Group C
SPYRIDOU Melina,GRC,8.58,3RD Prize,. Women's Gun (Cudgel/Sta?)-Group C
CHUKANOVA Kristina,UKR,8.57,3RD Prize,. Women's Gun (Cudgel/Sta?)-Group C
KOURTIDOU Ioanna Nefeli,GRC,8.55,3RD Prize,. Women's Gun (Cudgel/Sta?)-Group C
SILBERSTEIN Mia Jacquelyn,USA,8.52,3RD Prize,. Women's Gun (Cudgel/Sta?)-Group C
HAO Youyang,USA,8.51,3RD Prize,. Women's Gun (Cudgel/Sta?)-Group C
FIETZE Mila Claryssa Esselen,ZAF,8.5,,. Women's Gun (Cudgel/Sta?)-Group C
MALAK IBRAHIM Abouelmaati Mohamed,EGY,8.47,,. Women's Gun (Cudgel/Sta?)-Group C
GEORGA Eleni Anna,GRC,8.44,,. Women's Gun (Cudgel/Sta?)-Group C
?ELE?OVÁ Diana,SVK,8.42,,. Women's Gun (Cudgel/Sta?)-Group C
YU Ellany,USA,8.4,,. Women's Gun (Cudgel/Sta?)-Group C
MTSHALI Uthembekile,ZAF,8.27,,. Women's Gun (Cudgel/Sta?)-Group C
SINHALA PELI GEDARA Tanisha Keshavi Nawangi Ranasingha,LKA,7.93,,. Women's Gun (Cudgel/Sta?)-Group C
APKHAZAVA Sopiko,GEO,8.67,1ST Prize,. Women's Jian (Straight Sword)-Group C
ARZIANI Mariam,GEO,8.6,2ND Prize,. Women's Jian (Straight Sword)-Group C
FRENEKL Sasha,ISR,8.59,2ND Prize,. Women's Jian (Straight Sword)-Group C
SONOWAL Kashyapi,IND,8.52,2ND Prize,. Women's Jian (Straight Sword)-Group C
MUKHAMETOVA Aidana,KAZ,8.51,3RD Prize,. Women's Jian (Straight Sword)-Group C
ARUTYUNJAN Anna Maria,HUN,8.5,3RD Prize,. Women's Jian (Straight Sword)-Group C
COSKUN Ayse Sina,TUR,8.48,3RD Prize,. Women's Jian (Straight Sword)-Group C
MASKOVA Anna,CZE,8.47,3RD Prize,. Women's Jian (Straight Sword)-Group C
LAM Xue Ying,MYS,8.45,,. Women's Jian (Straight Sword)-Group C
RABICO VIDEIRA Maria,PRT,8.42,,. Women's Jian (Straight Sword)-Group C
LOBITZ Adel,HUN,8.39,,. Women's Jian (Straight Sword)-Group C
DABUKA GEDARA Therani Nehara Thilakarathne,LKA,8.3,,. Women's Jian (Straight Sword)-Group C
TAMPAKI Dimitra,GRC,8.26,,. Women's Jian (Straight Sword)-Group C
ZIPOR Galia,ISR,(DNS),,. Women's Jian (Straight Sword)-Group C
JAZMIN Alag,MYS,8.56,1ST Prize,. Women's Nandao (Southern Broadsword)-Group C
ALTUN Sude Merve,TUR,8.52,2ND Prize,. Women's Nandao (Southern Broadsword)-Group C
NEDELEA Ana Maria,ROU,8.48,3RD Prize,. Women's Nandao (Southern Broadsword)-Group C
WIJESUNDARA MUDIYANSELAGE Matheesha Gimhani Wijesundara,LKA,8.46,3RD Prize,. Women's Nandao (Southern Broadsword)-Group C
HUANG Emma Mei,USA,8.4,,. Women's Nandao (Southern Broadsword)-Group C
KOGAN Erika,ISR,8.7,1ST Prize,. Women's Shanzi (Fan)-Group C
LAM Weng San,MAC,8.65,2ND Prize,. Women's Shanzi (Fan)-Group C
SPULE Estere So?ja,LVA,8.63,3RD Prize,. Women's Shanzi (Fan)-Group C
VLADAREANU Gabriela,ROU,8.56,3RD Prize,. Women's Shanzi (Fan)-Group C
NADARIO FREITAS Maria Eduarda,BRA,8.51,,. Women's Shanzi (Fan)-Group C
LY Kayla Caroling,USA,8.43,,. Women's Shanzi (Fan)-Group C
ZHANG Ashley Youran,USA,8.25,,. Women's Shanzi (Fan)-Group C
JASLYN TAN Yu Ching,MYS,(DNS),,. Women's Shanzi (Fan)-Group C
POINT Flora,FRA,(DNS),,. Women's Shanzi (Fan)-Group C
DING Catrina,USA,8.62,1ST Prize,. Women's Other Single/Soft-Weapon Routines-Group C
LEOW Le Yi Edda,SGP,8.59,2ND Prize,. Women's Other Single/Soft-Weapon Routines-Group C
WANG Joy Zy,USA,8.58,2ND Prize,. Women's Other Single/Soft-Weapon Routines-Group C
LOK Mai Cheng,MAC,8.57,2ND Prize,. Women's Other Single/Soft-Weapon Routines-Group C
LEE Hiu Ching,HKG,8.56,3RD Prize,. Women's Other Single/Soft-Weapon Routines-Group C
SHAW Phylicia Boxi,USA,8.54,3RD Prize,. Women's Other Single/Soft-Weapon Routines-Group C
FIALOVA Barbora,CZE,8.51,3RD Prize,. Women's Other Single/Soft-Weapon Routines-Group C
AISPURO BRINGAS Marisol Guadalupe,MEX,8.5,3RD Prize,. Women's Other Single/Soft-Weapon Routines-Group C
Lilly May WRIGHT,GBR,8.49,,. Women's Other Single/Soft-Weapon Routines-Group C
MO Emily Dongli,USA,8.48,,. Women's Other Single/Soft-Weapon Routines-Group C
RANCY HAMED Zaki Hamed,EGY,8.45,,. Women's Other Single/Soft-Weapon Routines-Group C
SHIBATA Kanon,JPN,8.41,,. Women's Other Single/Soft-Weapon Routines-Group C
KHUVINDAHANDI Shavindi Ayodhya De Silva,LKA,8.32,,. Women's Other Single/Soft-Weapon Routines-Group C
MEEGODA KANKANAMGE DON Dinari Sineli Meegoda,LKA,8.23,,. Women's Other Single/Soft-Weapon Routines-Group C
TARTUFOLI Alessia,ITA,8.67,1ST Prize,. Women's Dao (Broadsword)-Group D
ABIS Sonia,ITA,8.64,2ND Prize,. Women's Dao (Broadsword)-Group D
DOS SANTOS DE ARAÚJO Raquel,BRA,8.59,2ND Prize,. Women's Dao (Broadsword)-Group D
LE Tran Bao Tran,VNM,8.57,3RD Prize,. Women's Dao (Broadsword)-Group D
LIONTOU Ioanna,GRC,8.56,3RD Prize,. Women's Dao (Broadsword)-Group D
Patricia FERNANDES LULIA JACOB,GBR,8.51,3RD Prize,. Women's Dao (Broadsword)-Group D
PAPAGEORGOPOULOU Marina,GRC,8.49,,. Women's Dao (Broadsword)-Group D
HORVÁTH Dora Timea,HUN,8.46,,. Women's Dao (Broadsword)-Group D
TREJO ROMAN Liliana,MEX,8.43,,. Women's Dao (Broadsword)-Group D
ZHOU Lin,CHN,8.72,1ST Prize,. Women's Gun (Cudgel/Sta?)-Group D
AKYUZ Zeynep Makbule,TUR,8.68,2ND Prize,. Women's Gun (Cudgel/Sta?)-Group D
JASMINE TAY Jing Xuan,MYS,8.66,2ND Prize,. Women's Gun (Cudgel/Sta?)-Group D
KUSPANOVA Dayana,KAZ,8.62,3RD Prize,. Women's Gun (Cudgel/Sta?)-Group D
PISANI Teresa Aida,ITA,8.59,3RD Prize,. Women's Gun (Cudgel/Sta?)-Group D
Ashleigh Nicola Jade WYKES,GBR,8.49,3RD Prize,. Women's Gun (Cudgel/Sta?)-Group D
BAHODUROVA Firuzakhon,TJK,8.41,,. Women's Gun (Cudgel/Sta?)-Group D
CIECHANOWSKA Magdalena Katarzyna,POL,8.4,,. Women's Gun (Cudgel/Sta?)-Group D
GRAÇA OLIVEIRA CATARINO GONÇALVES Carolina Maria,PRT,8.36,,. Women's Gun (Cudgel/Sta?)-Group D
SAFRONOVA Jekaterina,LVA,8.32,,. Women's Gun (Cudgel/Sta?)-Group D
DUAN Yuan,CHN,9,1ST Prize,. Women's Jian (Straight Sword)-Group D
POLTORATSKA Yana,UKR,8.65,2ND Prize,. Women's Jian (Straight Sword)-Group D
KRON Yoni Shan Marina,DEU,8.6,2ND Prize,. Women's Jian (Straight Sword)-Group D
OKUN Carmel,ISR,8.59,2ND Prize,. Women's Jian (Straight Sword)-Group D
LE Gia Han,VNM,8.58,3RD Prize,. Women's Jian (Straight Sword)-Group D
WONG Amy Ka-Lai,USA,8.55,3RD Prize,. Women's Jian (Straight Sword)-Group D
BEKIARI Maria Ioanna,GRC,8.52,3RD Prize,. Women's Jian (Straight Sword)-Group D
MALAHOVA Polina,LVA,8.5,3RD Prize,. Women's Jian (Straight Sword)-Group D
VIZI Enik?,HUN,8.48,,. Women's Jian (Straight Sword)-Group D
KUN Enik?,HUN,8.47,,. Women's Jian (Straight Sword)-Group D
WESTERMAN Megan Ruth,USA,8.45,,. Women's Jian (Straight Sword)-Group D
VILLALONGA SEBASTIA Elena,ESP,8.43,,. Women's Jian (Straight Sword)-Group D
GUEVARA PINEDO Wara Lucero,BOL,8.41,,. Women's Jian (Straight Sword)-Group D
HENEGAMA MILLAGASANGE GEDARA Thiyangi Dimalsha Weerasinghe,LKA,8.4,,. Women's Jian (Straight Sword)-Group D
AIT ZERROUK Melissa,DZA,(DNS),,. Women's Jian (Straight Sword)-Group D
LEE Wing Yung,HKG,9,1ST Prize,. Women's Nandao (Southern Broadsword)-Group D
LEE Sze Min Josephine,SGP,8.8,2ND Prize,. Women's Nandao (Southern Broadsword)-Group D
KALUARACHCHI Devni Chamodya,SGP,8.71,3RD Prize,. Women's Nandao (Southern Broadsword)-Group D
KAUR Karamjit,IND,8.6,3RD Prize,. Women's Nandao (Southern Broadsword)-Group D
FRANCO Luna Magdalena,USA,8.59,,. Women's Nandao (Southern Broadsword)-Group D
RYCHLEWSKA Emila Marta,POL,8.57,,. Women's Nandao (Southern Broadsword)-Group D
SIMON Viktoria,HUN,8.8,1ST Prize,. Women's Shanzi (Fan)-Group D
LAMPADA Maria,GRC,8.61,2ND Prize,. Women's Shanzi (Fan)-Group D
Myrsini Chionia CHRISTODOULELLI,GBR,8.59,3RD Prize,. Women's Shanzi (Fan)-Group D
PATTARO DE MENDONÇA Solange,BRA,8.57,3RD Prize,. Women's Shanzi (Fan)-Group D
VATZAKA Christina,GRC,8.56,,. Women's Shanzi (Fan)-Group D
LI Hao,HKG,8.66,1ST Prize,. Men's -posture Taijijian-Group C
TAN En Jie,SGP,8.64,2ND Prize,. Men's -posture Taijijian-Group C
CHOW Yu Hong,HKG,8.62,3RD Prize,. Men's -posture Taijijian-Group C
SEAH Jun Xiang Dylan,SGP,8.61,3RD Prize,. Men's -posture Taijijian-Group C
WONG Kadyn,USA,8.55,,. Men's -posture Taijijian-Group C
NGUYEN Khac Le Hoang,VNM,8.7,1ST Prize,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
JOHN SAAD Amoun Mocus,EGY,8.57,1ST Prize,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
MURENU Matteo,ITA,8.5,1ST Prize,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
DONG Lucas Bogang,USA,8.45,2ND Prize,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
KARUNANAYAKA MUDIYANSELAGE Anuja Chamod,LKA,8.42,2ND Prize,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
IMI ARACHILLAGE Anuhas Chandupa Ranaweera,LKA,8.4,2ND Prize,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
JAYASUNDARA Pemitha Randes,LKA,8.35,3RD Prize,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
ZHANG Donghe,USA,8.14,3RD Prize,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
ROGOVEANU Dario,ROU,7.96,3RD Prize,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
ROGOVEANU David,ROU,7.95,3RD Prize,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
YING Ruoxiang,CAN,7.92,,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
GRAD George Raul,ROU,7.91,,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
GAJANAYAKA MUDALIGE Lakidu Himsara Gajanayaka,LKA,7.89,,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
TECI Alexandra Jasmine,ROU,(DNS),,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
JIN Yinuo,CAN,(DNS),,. Men's Other Taijijian/Taijidao/Taijishan- Group B/C
ZHENG Zhichao,CHN,8.86,1ST Prize,. Men's Other Taijijian Routines-Group D
YEUNG Chung Hei,HKG,8.81,1ST Prize,. Men's Other Taijijian Routines-Group D
LEUNG Yat Sing,HKG,8.77,2ND Prize,. Men's Other Taijijian Routines-Group D
TRAN Phan Anh Tuan,VNM,8.76,2ND Prize,. Men's Other Taijijian Routines-Group D
CHUANG Tate Mathew,PHL,8.74,2ND Prize,. Men's Other Taijijian Routines-Group D
LOEIS Erick Citra,IDN,8.74,2ND Prize,. Men's Other Taijijian Routines-Group D
LI Shaoyue,MAC,8.69,3RD Prize,. Men's Other Taijijian Routines-Group D
HESHAM NABIL Abdelnabi Mohamed,EGY,8.66,3RD Prize,. Men's Other Taijijian Routines-Group D
BISONI Gianluigi,ITA,8.63,3RD Prize,. Men's Other Taijijian Routines-Group D
JANSEN Kai Frank,DEU,8.62,3RD Prize,. Men's Other Taijijian Routines-Group D
BHATI Shivam,IND,8.61,3RD Prize,. Men's Other Taijijian Routines-Group D
JAYASEKARA MUDALIGE Hirusha Madushanka Jayasekara,LKA,8.6,3RD Prize,. Men's Other Taijijian Routines-Group D
KOJIMA Ryuhei,JPN,8.58,,. Men's Other Taijijian Routines-Group D
HUYNH Christoph Ngoc-Son,DEU,8.56,,. Men's Other Taijijian Routines-Group D
NOVOTNY Lukas,CZE,8.56,,. Men's Other Taijijian Routines-Group D
DU PLESSIS Alexander Dirk,ZAF,8.51,,. Men's Other Taijijian Routines-Group D
SIMON GARCIA Mario,ESP,8.49,,. Men's Other Taijijian Routines-Group D
FERREIRA PENSE William,BRA,8.37,,. Men's Other Taijijian Routines-Group D
SANT'ANNA LIMA DE ALMEIDA Gabriel Guarino,BRA,8.31,,. Men's Other Taijijian Routines-Group D
LIN Sanzhe,FRA,8.7,1ST Prize,. Men's Taijishan/Taijidao Routines- Group D/E
SAT Pak Long,HKG,8.69,2ND Prize,. Men's Taijishan/Taijidao Routines- Group D/E
NUÑEZ ALARCON Rafael Ignacio,CHL,8.57,3RD Prize,. Men's Taijishan/Taijidao Routines- Group D/E
HOREJS Milan,CZE,8.55,3RD Prize,. Men's Taijishan/Taijidao Routines- Group D/E
ZANINI Caio,BRA,8.51,,. Men's Taijishan/Taijidao Routines- Group D/E
PODAKANTI Satyajith Chary,IND,8.5,,. Men's Taijishan/Taijidao Routines- Group D/E
