Team,Athlete,Score,Remark,Form
RUS,Tatiana IUREVA,8.78,2nd Category Prize,International Women's Group D Taiji Jian
AUS,Cheryl Sam Toi,8.78,2nd Category Prize,International Women's Group D Taiji Jian
MAS,LEE BOEY KOH,8.76,2nd Category Prize,International Women's Group D Taiji Jian
MAC,WONG WUN U,8.76,2nd Category Prize,International Women's Group D Taiji Jian
HKG,LI So Ling Christina,8.76,2nd Category Prize,International Women's Group D Taiji Jian
JPN,MIDORI TAKANO,8.75,3rd Category Prize,International Women's Group D Taiji Jian
CAN,Yee Yat-Kwan,8.75,3rd Category Prize,International Women's Group D Taiji Jian
HKG,NG Kit Yee,8.73,3rd Category Prize,International Women's Group D Taiji Jian
AUS,Angela Jia Li Mak,8.72,3rd Category Prize,International Women's Group D Taiji Jian
HKG,YU Fung Mei Patricia,8.72,3rd Category Prize,International Women's Group D Taiji Jian
HKG,LAI Tsz Man,8.72,3rd Category Prize,International Women's Group D Taiji Jian
HKG,CHEUNG Yat Wah Carol,8.72,3rd Category Prize,International Women's Group D Taiji Jian
USA,Ping WU,8.72,3rd Category Prize,International Women's Group D Taiji Jian
AUS,Rebecca Pui Ting Ho,8.7,3rd Category Prize,International Women's Group D Taiji Jian
FRA,LACOUTURE-TROLEZ Stephaniee,8.7,3rd Category Prize,International Women's Group D Taiji Jian
HKG,LAU Kit Ming Tammy,8.7,3rd Category Prize,International Women's Group D Taiji Jian
JPN,JUNKO KIDO,8.7,3rd Category Prize,International Women's Group D Taiji Jian
HKG,NG Wing Kam,8.69,3rd Category Prize,International Women's Group D Taiji Jian
HKG,YAN Hiu Kwan,8.67,3rd Category Prize,International Women's Group D Taiji Jian
NED,Sabine Bock,8.67,3rd Category Prize,International Women's Group D Taiji Jian
JPN,EMIKO SAKUMA,8.66,3rd Category Prize,International Women's Group D Taiji Jian
HKG,CHAN Yuen Kwan,8.66,3rd Category Prize,International Women's Group D Taiji Jian
HKG,LUK Cheung Fung Grendy,8.66,3rd Category Prize,International Women's Group D Taiji Jian
HKG,YUNG Sin Yee Cynthia,8.65,,International Women's Group D Taiji Jian
HKG,LAU Sum Wing,8.65,,International Women's Group D Taiji Jian
MAC,VONG MEI FONG,8.64,,International Women's Group D Taiji Jian
HKG,PANG Yuk Mui,8.64,,International Women's Group D Taiji Jian
RUS,Antonina IVANOVA,8.63,,International Women's Group D Taiji Jian
HKG,NG Lai Ling Maggie,8.62,,International Women's Group D Taiji Jian
FRA,VIGNON Roxane,8.62,,International Women's Group D Taiji Jian
HKG,LEUNG Yuen Nga Barbara,8.61,,International Women's Group D Taiji Jian
JPN,YUMIKO ICHIKAWA,8.6,,International Women's Group D Taiji Jian
HKG,CHENG Hsueh Chih,8.6,,International Women's Group D Taiji Jian
JPN,MIKIKO UEDA,8.6,,International Women's Group D Taiji Jian
JPN,SAKIKO KOMURO,8.58,,International Women's Group D Taiji Jian
HKG,BALEROS Henriette Patricia,8.57,,International Women's Group D Taiji Jian
HKG,KONG Yee Wan,8.57,,International Women's Group D Taiji Jian
HKG,TANG Yuk Ling,8.55,,International Women's Group D Taiji Jian
HKG,NG Shiow Lan Liza,8.55,,International Women's Group D Taiji Jian
JPN,AKIKO KATO,8.55,,International Women's Group D Taiji Jian
HKG,YOO Hwa Soo,8.55,,International Women's Group D Taiji Jian
HKG,CHOW Wan Ming Mary,8.54,,International Women's Group D Taiji Jian
RSA,Rutendo NGARA,8.54,,International Women's Group D Taiji Jian
HKG,CHAN Sau Lan Cecilia,8.52,,International Women's Group D Taiji Jian
HKG,CHIH Ellen,8.5,,International Women's Group D Taiji Jian
IRI,soad kaheni,8.5,,International Women's Group D Taiji Jian
HKG,CHOW Chi Lan,8.46,,International Women's Group D Taiji Jian
HKG,LO Kam Fung,8.45,,International Women's Group D Taiji Jian
HKG,WONG Chor Ying Christina,8.35,,International Women's Group D Taiji Jian
CHN,ZHU XIANGHUA,9.2,1st Category Prize,International Men's Group D Taiji Jian
JPN,KOURIN JO,9.14,1st Category Prize,International Men's Group D Taiji Jian
CHN,HUI HETONG,9.13,1st Category Prize,International Men's Group D Taiji Jian
NZL,David John Thew,9.06,2nd Category Prize,International Men's Group D Taiji Jian
RUS,Sergey SUKHOVEY,9.04,2nd Category Prize,International Men's Group D Taiji Jian
AUS,Sherman Shu Hang Mak,8.91,2nd Category Prize,International Men's Group D Taiji Jian
RUS,Natig VELIEV,8.88,2nd Category Prize,International Men's Group D Taiji Jian
EGY,Hassan khalifa Zayed Mahmoud,8.88,2nd Category Prize,International Men's Group D Taiji Jian
JPN,KATSUTO TAKANO,8.86,2nd Category Prize,International Men's Group D Taiji Jian
GER,Christian Ameis,8.84,2nd Category Prize,International Men's Group D Taiji Jian
GER,Eric Jonischkeit,8.84,2nd Category Prize,International Men's Group D Taiji Jian
IRI,mahdi ramezanzadeh,8.84,2nd Category Prize,International Men's Group D Taiji Jian
EGY,Mohamed Kamel Abdelhady Saad,8.84,2nd Category Prize,International Men's Group D Taiji Jian
IRI,saeed atazadeh,8.83,3rd Category Prize,International Men's Group D Taiji Jian
HKG,TIK Hoffman Ho Kit,8.83,3rd Category Prize,International Men's Group D Taiji Jian
RUS,Edgar TOBUKOV,8.82,3rd Category Prize,International Men's Group D Taiji Jian
ESP,JUAN JOSE ESTRELLA SANCHEZ,8.8,3rd Category Prize,International Men's Group D Taiji Jian
RUS,Vasily SAMSONOV,8.8,3rd Category Prize,International Men's Group D Taiji Jian
SVK,Marek SKOLUDA,8.78,3rd Category Prize,International Men's Group D Taiji Jian
BRA,Krishna Ramos RAZA,8.77,3rd Category Prize,International Men's Group D Taiji Jian
BRA,Marcio Luiz ZAQUEU,8.77,3rd Category Prize,International Men's Group D Taiji Jian
USA,Qiyue ZHANG,8.77,3rd Category Prize,International Men's Group D Taiji Jian
AUS,Desmond Chung,8.76,,International Men's Group D Taiji Jian
USA,Wen-lin FAN,8.75,,International Men's Group D Taiji Jian
HKG,MOK Kim Tong,8.73,,International Men's Group D Taiji Jian
COL,JOSE MIGUEL GOMEZ RANGES,8.69,,International Men's Group D Taiji Jian
FRA,KLINGER Michael,8.68,,International Men's Group D Taiji Jian
JPN,KIICHI KOBAYASHI,8.66,,International Men's Group D Taiji Jian
COL,EDGAR FERNANDEZ OBREGON,8.65,,International Men's Group D Taiji Jian
BRA,Hemerson Carvalho de OLIVEIRA,8.65,,International Men's Group D Taiji Jian
HKG,LAU King Yuen,8.64,,International Men's Group D Taiji Jian
USA,Quang UONG,8.59,,International Men's Group D Taiji Jian
JPN,MITSUAKI HIGO,8.52,,International Men's Group D Taiji Jian
CAN,Ng Pang Yee Allen,8.9,1st Category Prize,International Men's Group E Taiji Jian
USA,Wesley BISHOP,8.88,1st Category Prize,International Men's Group E Taiji Jian
USA,Eric SNYDER,8.88,1st Category Prize,International Men's Group E Taiji Jian
HKG,HO Wing Keung,8.85,1st Category Prize,International Men's Group E Taiji Jian
CAN,Zhu Ming,8.85,1st Category Prize,International Men's Group E Taiji Jian
JPN,ANRI TAKEDA,8.8,2nd Category Prize,International Men's Group E Taiji Jian
MAC,LEI IAM CHEONG,8.78,2nd Category Prize,International Men's Group E Taiji Jian
MAC,KOU KAM HONG,8.77,2nd Category Prize,International Men's Group E Taiji Jian
CAN,Wu Lawrence Man Wai,8.77,2nd Category Prize,International Men's Group E Taiji Jian
AUS,Edward Nugent,8.75,3rd Category Prize,International Men's Group E Taiji Jian
NZL,David Wong,8.73,3rd Category Prize,International Men's Group E Taiji Jian
AUS,Choo Beng Chew,8.72,3rd Category Prize,International Men's Group E Taiji Jian
MAS,SAY PENG YEO,8.72,3rd Category Prize,International Men's Group E Taiji Jian
HKG,CHEUNG Chun Wah,8.71,3rd Category Prize,International Men's Group E Taiji Jian
JPN,MASAHARU ISHIKAWA,8.69,,International Men's Group E Taiji Jian
USA,Hoa NGUYEN,8.68,,International Men's Group E Taiji Jian
USA,Francis ROSICA,8.67,,International Men's Group E Taiji Jian
JPN,MASAKI KAWASAKI,8.66,,International Men's Group E Taiji Jian
JPN,KENZO OKAMOTO,8.65,,International Men's Group E Taiji Jian
HKG,TANG Chi Man,8.61,,International Men's Group E Taiji Jian
ROU,Grindeanu Sonia,8.87,1st Category Prize,International Women's Group C Other Taiji Weapon
FRA,NGUYEN Diana,8.84,2nd Category Prize,International Women's Group C Other Taiji Weapon
BRA,Lenise Varanda CEZARETTO,8.79,3rd Category Prize,International Women's Group C Other Taiji Weapon
BOL,Maya Huanacuni Baldivieso,8.71,3rd Category Prize,International Women's Group C Other Taiji Weapon
ESP,ALBA NINO GONZALEZ,8.69,,International Women's Group C Other Taiji Weapon
USA,Winny WEN,8.45,,International Women's Group C Other Taiji Weapon
RSA,Daniela CHRYSOSTOMOU,8.93,1st Category Prize,International Women's Group D Other Taiji Weapon
JPN,JUNKO HIROSE,8.87,2nd Category Prize,International Women's Group D Other Taiji Weapon
FRA,ROMERO Sabine,8.83,2nd Category Prize,International Women's Group D Other Taiji Weapon
RSA,Catharina Louisa Riana VAN COLLER,8.8,3rd Category Prize,International Women's Group D Other Taiji Weapon
FRA,CIABURRI-VICENTE Consiglia,8.69,3rd Category Prize,International Women's Group D Other Taiji Weapon
POL,Ewa Mechelewska,8.66,3rd Category Prize,International Women's Group D Other Taiji Weapon
USA,Sinyi JONES,8.63,,International Women's Group D Other Taiji Weapon
JPN,ITSUKO MURAI,8.6,,International Women's Group D Other Taiji Weapon
BOL,Cecilia Pinedo Soruco,8.59,,International Women's Group D Other Taiji Weapon
HKG,FU Mi Wah,8.51,,International Women's Group D Other Taiji Weapon
AUS,May Gao,8.39,,International Women's Group D Other Taiji Weapon
HKG,LEE Chun Chun,8.79,1st Category Prize,International Women's Group E Other Traditional Taiji Weapon
MAC,WONG WA MUI,8.75,2nd Category Prize,International Women's Group E Other Traditional Taiji Weapon
HKG,WONG Lai Fong,8.62,3rd Category Prize,International Women's Group E Other Traditional Taiji Weapon
RSA,Anneke LUYT,8.6,3rd Category Prize,International Women's Group E Other Traditional Taiji Weapon
HKG,HO Kin Ping,8.56,,International Women's Group E Other Traditional Taiji Weapon
ESP,ELOY ALBERTO NINO ORTEGA,8.8,1st Category Prize,International Men's Group D Other Taiji Weapon
HKG,NG Ho On,8.79,2nd Category Prize,International Men's Group D Other Taiji Weapon
RUS,Sergey POPOV,8.77,2nd Category Prize,International Men's Group D Other Taiji Weapon
GER,Ruediger Gruetz,8.77,2nd Category Prize,International Men's Group D Other Taiji Weapon
POL,Piotr Miaskiewicz,8.74,3rd Category Prize,International Men's Group D Other Taiji Weapon
HKG,LAW Wah Tak,8.74,3rd Category Prize,International Men's Group D Other Taiji Weapon
BRA,Sergio TANOSHI,8.73,,International Men's Group D Other Taiji Weapon
USA,Bo LI,8.72,,International Men's Group D Other Taiji Weapon
AUS,Pablo Barreto,8.69,,International Men's Group D Other Taiji Weapon
AUS,Yunkuo Wang,8.6,,International Men's Group D Other Taiji Weapon
RUS,Denis KAZANTSEV,9.11,1st Category Prize,International Men's Group C Dao (Broadsword)
RUS,Radik ZARIPOV,9.08,1st Category Prize,International Men's Group C Dao (Broadsword)
ITA,Alessandro PIRAS,9.05,2nd Category Prize,International Men's Group C Dao (Broadsword)
RUS,Ivan MOLCHANOV,9.03,2nd Category Prize,International Men's Group C Dao (Broadsword)
NZL,Jun Nakanishi Selwyn,8.97,2nd Category Prize,International Men's Group C Dao (Broadsword)
RUS,Iliyas KHUSNUTDINOV,8.96,2nd Category Prize,International Men's Group C Dao (Broadsword)
USA,Max WOOD-LEE,8.94,3rd Category Prize,International Men's Group C Dao (Broadsword)
TJK,KHURSHDZODA MIRZODALERKHON,8.91,3rd Category Prize,International Men's Group C Dao (Broadsword)
KAZ,Babenko Alexey,8.91,3rd Category Prize,International Men's Group C Dao (Broadsword)
TPE,KUO yi peng,8.9,3rd Category Prize,International Men's Group C Dao (Broadsword)
MAC,CHEONG KA CHON,8.83,3rd Category Prize,International Men's Group C Dao (Broadsword)
TUN,mohamed dadda,8.77,3rd Category Prize,International Men's Group C Dao (Broadsword)
ROU,Zamolo Giuliano Isa,8.77,3rd Category Prize,International Men's Group C Dao (Broadsword)
COL,URIEL DARIO VARELA MEJIA,8.76,,International Men's Group C Dao (Broadsword)
ROU,Iana Mihail Alexandru,8.74,,International Men's Group C Dao (Broadsword)
BRA,Giovani Ricardo CINTRA,8.7,,International Men's Group C Dao (Broadsword)
USA,Alvin TONG,8.63,,International Men's Group C Dao (Broadsword)
SRI,N.K.C.S. RATHNASIRI,8.62,,International Men's Group C Dao (Broadsword)
JPN,TSUTOMU KOBUKI,8.6,,International Men's Group C Dao (Broadsword)
USA,Benny CHANTHAVONG,8.54,,International Men's Group C Dao (Broadsword)
ARG,Lucas Alvarez,8.5,,International Men's Group C Dao (Broadsword)
BRU,Koh Yun C,8.79,1st Category Prize,International Women's Group B Nan Dao (Southern Broadsword)
RUS,Idalia GAFAROVA,8.78,2nd Category Prize,International Women's Group B Nan Dao (Southern Broadsword)
POL,Emilia Marta Rychlewska,8.58,3rd Category Prize,International Women's Group B Nan Dao (Southern Broadsword)
IND,TRUPTI DEEPAK CHANDWADKAR,8.58,3rd Category Prize,International Women's Group B Nan Dao (Southern Broadsword)
CAN,Melody Weng,8.56,,International Women's Group B Nan Dao (Southern Broadsword)
RUS,Aleksander EMELIANINKO,8.89,1st Category Prize,International Men's Group B Nan Dao (Southern Broadsword)
GBR,Ping Hao Ng,8.8,2nd Category Prize,International Men's Group B Nan Dao (Southern Broadsword)
USA,Cheng-en YEW,8.7,3rd Category Prize,International Men's Group B Nan Dao (Southern Broadsword)
USA,Caleb YEUNG,8.69,3rd Category Prize,International Men's Group B Nan Dao (Southern Broadsword)
USA,Aspen SHEN,8.66,,International Men's Group B Nan Dao (Southern Broadsword)
GEO,RAULI MAMEDOVI,8.58,,International Men's Group B Nan Dao (Southern Broadsword)
RUS,Artem ZAGIBALOV,9.17,1st Category Prize,International Men's Group C Nan Dao (Southern Broadsword)
USA,Alex TRAN,9.05,2nd Category Prize,International Men's Group C Nan Dao (Southern Broadsword)
RUS,Artem ALTYSHEV,9.04,2nd Category Prize,International Men's Group C Nan Dao (Southern Broadsword)
YEM,HAMDI MANSOOR AL-YARESI,8.85,3rd Category Prize,International Men's Group C Nan Dao (Southern Broadsword)
KAZ,Dauletzhan Gali,8.79,3rd Category Prize,International Men's Group C Nan Dao (Southern Broadsword)
USA,Faris MAALIKI,8.74,3rd Category Prize,International Men's Group C Nan Dao (Southern Broadsword)
COL,WILLIAM ANDRES MOLANO ANDRADE,8.67,,International Men's Group C Nan Dao (Southern Broadsword)
USA,Anthony DIAZ,8.66,,International Men's Group C Nan Dao (Southern Broadsword)
AUS,Mitchell Chiew,8.55,,International Men's Group C Nan Dao (Southern Broadsword)
FRA,SAATENANG Dominique,8.76,1st Category Prize,International Men's Group B Jian (Straight Sword)
ITA,Lorenzo MURRU,8.74,2nd Category Prize,International Men's Group B Jian (Straight Sword)
USA,Alan TONG,8.67,3rd Category Prize,International Men's Group B Jian (Straight Sword)
USA,Matthew CHAN,8.65,3rd Category Prize,International Men's Group B Jian (Straight Sword)
KAZ,Orailo Danil,8.63,,International Men's Group B Jian (Straight Sword)
BOL,Cristina Felipes Arcani,8.4,,International Men's Group B Jian (Straight Sword)
BOL,Leonardo Calamani,8.3,,International Men's Group B Jian (Straight Sword)
RUS,Anna SHATAEVA,9.05,1st Category Prize,International Women's Group C Jian (Straight Sword)
RUS,Alina PODOLSKAYA,8.96,2nd Category Prize,International Women's Group C Jian (Straight Sword)
RUS,Nina SAFAROVA,8.9,2nd Category Prize,International Women's Group C Jian (Straight Sword)
ITA,Sonia ABIS,8.85,3rd Category Prize,International Women's Group C Jian (Straight Sword)
ITA,Sonia PUDDU,8.78,3rd Category Prize,International Women's Group C Jian (Straight Sword)
MAC,WAI PUI CHENG,8.77,3rd Category Prize,International Women's Group C Jian (Straight Sword)
USA,Melissa YAHYA,8.65,,International Women's Group C Jian (Straight Sword)
NZL,Yin-Chi Lee,8.64,,International Women's Group C Jian (Straight Sword)
SVK,Simona HOLOTOVA,8.6,,International Women's Group C Jian (Straight Sword)
JPN,YURI MORI,8.46,,International Women's Group C Jian (Straight Sword)
RUS,Dmitry MININ,9.09,1st Category Prize,International Men's Group C Jian (Straight Sword)
ITA,Ivo ZEDDA,8.98,1st Category Prize,International Men's Group C Jian (Straight Sword)
HKG,KWONG Yuk Ming,8.96,2nd Category Prize,International Men's Group C Jian (Straight Sword)
UKR,ARTEM SUONG,8.95,2nd Category Prize,International Men's Group C Jian (Straight Sword)
UKR,Dmytro Panasiuk,8.91,2nd Category Prize,International Men's Group C Jian (Straight Sword)
USA,Edgar RUIZ,8.85,3rd Category Prize,International Men's Group C Jian (Straight Sword)
LTU,Aram MURADYAN,8.83,3rd Category Prize,International Men's Group C Jian (Straight Sword)
MAC,CHONG KENG U,8.8,3rd Category Prize,International Men's Group C Jian (Straight Sword)
MEX,Leonel PEDRAZA,8.79,3rd Category Prize,International Men's Group C Jian (Straight Sword)
USA,Sydney LY,8.78,3rd Category Prize,International Men's Group C Jian (Straight Sword)
JPN,KOICHI SUEYOSHI,8.77,,International Men's Group C Jian (Straight Sword)
BRA,Gabriel Guarino Santanna de ALMEIDA,8.75,,International Men's Group C Jian (Straight Sword)
CZE,Martin Lee,8.72,,International Men's Group C Jian (Straight Sword)
BOL,Ivan Vazques Menes,8.7,,International Men's Group C Jian (Straight Sword)
ITA,Doriano EDOSINI,8.68,,International Men's Group C Jian (Straight Sword)
ITA,Simone MANGIANTE,8.65,,International Men's Group C Jian (Straight Sword)
NED,Alex Cheung,8.63,,International Men's Group C Jian (Straight Sword)
CHN,XIONG YABING,9.15,1st Category Prize,International Men's Group D Jian (Straight Sword)
USA,Brandon SUGIYAMA,8.95,2nd Category Prize,International Men's Group D Jian (Straight Sword)
NED,Henry Eleonora,8.88,3rd Category Prize,International Men's Group D Jian (Straight Sword)
USA,Gerard SILVA,8.87,3rd Category Prize,International Men's Group D Jian (Straight Sword)
RUS,Dmitrii ROGOV,8.8,,International Men's Group D Jian (Straight Sword)
AUS,Ian Chan,8.74,,International Men's Group D Jian (Straight Sword)
RUS,Mikhail NATURALNYY,8.7,,International Men's Group D Jian (Straight Sword)
TUR,Feyza CAPOGLU,8.76,1st Category Prize,International Women's Group B Jian (Straight Sword)
BRU,Li ZiYan,8.7,2nd Category Prize,International Women's Group B Jian (Straight Sword)
BRU,Lim Yee Sean,8.68,2nd Category Prize,International Women's Group B Jian (Straight Sword)
IND,SHRAVANI SOPAN KATKE,8.65,2nd Category Prize,International Women's Group B Jian (Straight Sword)
USA,Kaitlyn TRAN,8.61,3rd Category Prize,International Women's Group B Jian (Straight Sword)
RSA,Erin MC CARDLE,8.6,3rd Category Prize,International Women's Group B Jian (Straight Sword)
USA,Leianna YUEN,8.59,3rd Category Prize,International Women's Group B Jian (Straight Sword)
USA,Aileen MEMBRENO,8.57,3rd Category Prize,International Women's Group B Jian (Straight Sword)
EST,Anete Korve,8.57,3rd Category Prize,International Women's Group B Jian (Straight Sword)
MAS,SIN YEE OOI,8.47,,International Women's Group B Jian (Straight Sword)
USA,Mataya WOODARD,8.46,,International Women's Group B Jian (Straight Sword)
USA,Ashley LIN,8.45,,International Women's Group B Jian (Straight Sword)
BOL,Wara Guevara Pinedo,8.31,,International Women's Group B Jian (Straight Sword)
USA,Lucas DONG,8.63,1st Category Prize,International Men's Group A Gun (Cudgel/Staff)
CZE,Karel Korenc,8.52,2nd Category Prize,International Men's Group A Gun (Cudgel/Staff)
ROU,Popa Andrei Daniel,8.45,2nd Category Prize,International Men's Group A Gun (Cudgel/Staff)
BRA,Lucas Anten HONG,8.4,3rd Category Prize,International Men's Group A Gun (Cudgel/Staff)
BRA,Dylan WENTAO TER,8.34,3rd Category Prize,International Men's Group A Gun (Cudgel/Staff)
RSA,Ntsakiso CHAUKE,8.32,,International Men's Group A Gun (Cudgel/Staff)
LAT,Maksim Kleymenov,8.32,,International Men's Group A Gun (Cudgel/Staff)
RSA,Jamie Marshall WOOLMER,8.3,,International Men's Group A Gun (Cudgel/Staff)
TUR,Zeynep AKYUZ,8.68,1st Category Prize,International Women's Group B Gun (Cudgel/Staff)
UKR,Ivanova Mariya,8.55,2nd Category Prize,International Women's Group B Gun (Cudgel/Staff)
MAS,BELFERN LEE,8.5,2nd Category Prize,International Women's Group B Gun (Cudgel/Staff)
KAZ,Kuspanova Dayana,8.49,3rd Category Prize,International Women's Group B Gun (Cudgel/Staff)
IND,KHUSHI MANOJ TELKAR,8.47,3rd Category Prize,International Women's Group B Gun (Cudgel/Staff)
USA,Yeeling TAI,8.45,3rd Category Prize,International Women's Group B Gun (Cudgel/Staff)
RSA,Nomthandazo Thabsile THUSI,8.44,,International Women's Group B Gun (Cudgel/Staff)
ITA,Francesca MOSCA CIPRIANI,8.42,,International Women's Group B Gun (Cudgel/Staff)
KAZ,Traize Regina,8.37,,International Women's Group B Gun (Cudgel/Staff)
KAZ,Abdulmanova Amina,8.3,,International Women's Group B Gun (Cudgel/Staff)
MAS,PEI YU TAN,8.6,1st Category Prize,International Men's Group B Gun (Cudgel/Staff)
USA,Jeffrey CHENG,8.58,1st Category Prize,International Men's Group B Gun (Cudgel/Staff)
TUN,firas sayahi,8.57,2nd Category Prize,International Men's Group B Gun (Cudgel/Staff)
GER,Jean Michel Merten,8.56,2nd Category Prize,International Men's Group B Gun (Cudgel/Staff)
BRA,Gabriel Augusto de Oliveira FERREIRA,8.55,2nd Category Prize,International Men's Group B Gun (Cudgel/Staff)
KAZ,Kenzhegarin Batyrbek,8.55,2nd Category Prize,International Men's Group B Gun (Cudgel/Staff)
USA,Lelan YUNG,8.54,3rd Category Prize,International Men's Group B Gun (Cudgel/Staff)
USA,Trevor HEINEMANN,8.54,3rd Category Prize,International Men's Group B Gun (Cudgel/Staff)
CZE,Jakub Miratsky,8.53,3rd Category Prize,International Men's Group B Gun (Cudgel/Staff)
MAS,YU SHYAN TANG,8.5,3rd Category Prize,International Men's Group B Gun (Cudgel/Staff)
ITA,William BADAS,8.49,3rd Category Prize,International Men's Group B Gun (Cudgel/Staff)
CAN,Andrew Alexander Stoenescu,8.48,3rd Category Prize,International Men's Group B Gun (Cudgel/Staff)
USA,Angelo GUO,8.48,3rd Category Prize,International Men's Group B Gun (Cudgel/Staff)
BRU,Aaron Phung JinYi,8.48,3rd Category Prize,International Men's Group B Gun (Cudgel/Staff)
ROU,Bleaja Cristea Alexandru,8.47,,International Men's Group B Gun (Cudgel/Staff)
SRI,B.D.PROMOD DERIC SHERMAN,8.46,,International Men's Group B Gun (Cudgel/Staff)
SVK,Filip BARTOS,8.44,,International Men's Group B Gun (Cudgel/Staff)
USA,Tim ZHENG,8.41,,International Men's Group B Gun (Cudgel/Staff)
RSA,Raiden ADAMS,8.36,,International Men's Group B Gun (Cudgel/Staff)
RSA,Cameron Lee KHAN,8.33,,International Men's Group B Gun (Cudgel/Staff)
ESP,FRANCISCO GARCIA MAZUECOS,8.97,1st Category Prize,International Men's Group C Gun (Cudgel/Staff)
RUS,Ilya LITVINCHUK,8.96,1st Category Prize,International Men's Group C Gun (Cudgel/Staff)
BRA,Anthony da Silva CAPELAZZO,8.91,2nd Category Prize,International Men's Group C Gun (Cudgel/Staff)
ITA,Claudio DI BENEDETTO,8.85,2nd Category Prize,International Men's Group C Gun (Cudgel/Staff)
BRA,Daniel Shinji HIRATA,8.85,2nd Category Prize,International Men's Group C Gun (Cudgel/Staff)
AUS,Gerard Donohoe,8.8,3rd Category Prize,International Men's Group C Gun (Cudgel/Staff)
USA,Jorge PEREZ,8.77,3rd Category Prize,International Men's Group C Gun (Cudgel/Staff)
FRA,ARISTIDE Julien,8.77,3rd Category Prize,International Men's Group C Gun (Cudgel/Staff)
SVK,Marian SUSEDKA,8.75,3rd Category Prize,International Men's Group C Gun (Cudgel/Staff)
ITA,Claudio PARDO,8.71,3rd Category Prize,International Men's Group C Gun (Cudgel/Staff)
RSA,Martin Henry VENSKI,8.68,,International Men's Group C Gun (Cudgel/Staff)
MAS,YU WAI LIN,8.67,,International Men's Group C Gun (Cudgel/Staff)
TUN,yassin aoled jbeli,8.6,,International Men's Group C Gun (Cudgel/Staff)
RSA,Khayelihle Goodenough JALI,8.55,,International Men's Group C Gun (Cudgel/Staff)
MAR,AZIZ ELHAIBA,8.53,,International Men's Group C Gun (Cudgel/Staff)
MAC,ZHAO NING,9.05,1st Category Prize,International Women's Group E Taiji Jian
USA,Qijing YUE,8.95,1st Category Prize,International Women's Group E Taiji Jian
JPN,JUNKO SHISHIDO,8.86,1st Category Prize,International Women's Group E Taiji Jian
JPN,SETSUKO TOBITA,8.86,1st Category Prize,International Women's Group E Taiji Jian
JPN,HIROMI TAKAHASHI,8.82,1st Category Prize,International Women's Group E Taiji Jian
JPN,KAZUKO YONEMOTO,8.8,1st Category Prize,International Women's Group E Taiji Jian
JPN,KIYOKO SAGA,8.79,2nd Category Prize,International Women's Group E Taiji Jian
JPN,TOMIKO SAWAOKA,8.78,2nd Category Prize,International Women's Group E Taiji Jian
JPN,FUMIKO SHIMIZU,8.77,2nd Category Prize,International Women's Group E Taiji Jian
JPN,HIROKO SAKAI,8.76,2nd Category Prize,International Women's Group E Taiji Jian
JPN,EMIKO YAMADA,8.76,2nd Category Prize,International Women's Group E Taiji Jian
JPN,JUNKO IRISAWA,8.74,2nd Category Prize,International Women's Group E Taiji Jian
JPN,FUMIKO TANABE,8.74,2nd Category Prize,International Women's Group E Taiji Jian
JPN,REIKO EMI,8.72,3rd Category Prize,International Women's Group E Taiji Jian
JPN,MASAKO SHIMIZU,8.72,3rd Category Prize,International Women's Group E Taiji Jian
AUS,Janice Zurzolo,8.71,3rd Category Prize,International Women's Group E Taiji Jian
JPN,TOMOKO TAKANO,8.71,3rd Category Prize,International Women's Group E Taiji Jian
JPN,YASUKO HIMENO,8.7,3rd Category Prize,International Women's Group E Taiji Jian
JPN,HIDEKO NAKAJIMA,8.7,3rd Category Prize,International Women's Group E Taiji Jian
USA,Yoshiko ROUDPEYMA,8.67,3rd Category Prize,International Women's Group E Taiji Jian
RSA,Candace Jane MC CARDLE,8.66,3rd Category Prize,International Women's Group E Taiji Jian
JPN,SHIZUE KATO,8.66,3rd Category Prize,International Women's Group E Taiji Jian
CAN,Wu Louise,8.63,,International Women's Group E Taiji Jian
JPN,JUNKO UEDA,8.63,,International Women's Group E Taiji Jian
HKG,WONG Suk Kuen,8.6,,International Women's Group E Taiji Jian
USA,Oi Lai YAM,8.59,,International Women's Group E Taiji Jian
HKG,LAM Ching Wah,8.56,,International Women's Group E Taiji Jian
HKG,LAM Ching Wan,8.55,,International Women's Group E Taiji Jian
USA,Brillian FU,8.81,1st Category Prize,International Women's Group B Double Daggers
POL,Julia Augustyn,8.75,2nd Category Prize,International Women's Group B Double Daggers
GER,Konstanzia Merten,8.7,3rd Category Prize,International Women's Group B Double Daggers
USA,Amber MIN,8.69,3rd Category Prize,International Women's Group B Double Daggers
USA,Jessica DU,8.68,,International Women's Group B Double Daggers
HKG,SHAM Hui Yu Lydia,8.9,1st Category Prize,International Women's Group B Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
USA,Isabella MILLER,8.83,2nd Category Prize,International Women's Group B Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
USA,Faith ZHANG,8.78,3rd Category Prize,International Women's Group B Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
USA,Catherine LUO,8.77,3rd Category Prize,International Women's Group B Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
USA,Audrey HUIE,8.76,,International Women's Group B Shuang Jian (Double Straight Sword/ Double Long Tassel Straight Sword)
