Rank	Bib	Athlete	NOC	Total				
7	01404	CALADO GUERREIRO Salvador	PRT	8.41		. Men's Yang Style -Group D	Wushu Taolu	Emeishan
1	00929	YANG Xu	CHN	8.88	1ST Prize	. Men's Chen Style-Group D	Wushu Taolu	Emeishan
2	02020	SAT Pak Long	HKG	8.69	2ND Prize	. Men's Chen Style-Group D	Wushu Taolu	Emeishan
3	04801	CHUANG Tate Mathew	PHL	8.66	2ND Prize	. Men's Chen Style-Group D	Wushu Taolu	Emeishan
4	05110	LI Shaoyue	MAC	8.62	3RD Prize	. Men's Chen Style-Group D	Wushu Taolu	Emeishan
5	01305	HESHAM NABIL Abdelnabi Mohamed	EGY	8.6	3RD Prize	. Men's Chen Style-Group D	Wushu Taolu	Emeishan
6	00630	SANT'ANNA LIMA DE ALMEIDA Gabriel Guarino	BRA	8.55	3RD Prize	. Men's Chen Style-Group D	Wushu Taolu	Emeishan
7	03003	BARICA Florin Alexandru	ROU	8.55		. Men's Chen Style-Group D	Wushu Taolu	Emeishan
8	01505	BISONI Gianluigi	ITA	8.52		. Men's Chen Style-Group D	Wushu Taolu	Emeishan
9	00801	NUÑEZ ALARCON Rafael Ignacio	CHL	8.43		. Men's Chen Style-Group D	Wushu Taolu	Emeishan
10	01208	NOVOTNY Lukas	CZE	8.37		. Men's Chen Style-Group D	Wushu Taolu	Emeishan
	00308	OUIDIR Lahcen	DZA	(DNS)		. Men's Chen Style-Group D	Wushu Taolu	Emeishan
1	02025	YEUNG Chung Hei	HKG	8.7	1ST Prize	. Men's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
2	00103	LIN Sanzhe	FRA	8.65	2ND Prize	. Men's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
3	04412	TRAN Phan Anh Tuan	VNM	8.61	3RD Prize	. Men's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
4	04304	BRAYTON Mason Tsan-Ming	USA	8.59	3RD Prize	. Men's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
5	01805	JANSEN Kai Frank	DEU	8.47		. Men's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
6	00612	FERREIRA PENSE William	BRA	8.44		. Men's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
7	03113	SIMON GARCIA Mario	ESP	8.41		. Men's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
1	00932	ZHANG Qianqiu	CHN	8.8	1ST Prize	. Men's Chen Style-Group E	Wushu Taolu	Emeishan
2	04371	ZHANG Cheng	USA	8.75	1ST Prize	. Men's Chen Style-Group E	Wushu Taolu	Emeishan
3	00914	KANG Hongbin	CHN	8.72	2ND Prize	. Men's Chen Style-Group E	Wushu Taolu	Emeishan
4	00908	FU Nengbin	CHN	8.72	2ND Prize	. Men's Chen Style-Group E	Wushu Taolu	Emeishan
5	03311	LIM Che How	SGP	8.7	2ND Prize	. Men's Chen Style-Group E	Wushu Taolu	Emeishan
6	01005	ZHOU Xu	CAN	8.68	3RD Prize	. Men's Chen Style-Group E	Wushu Taolu	Emeishan
7	03407	SLAMKA Michal	SVK	8.54	3RD Prize	. Men's Chen Style-Group E	Wushu Taolu	Emeishan
8	01711	SUMBULASHVILI Lasha	GEO	8.53	3RD Prize	. Men's Chen Style-Group E	Wushu Taolu	Emeishan
9	03016	MIHAILA Claudiu	ROU	8.52	3RD Prize	. Men's Chen Style-Group E	Wushu Taolu	Emeishan
10	02611	VLASENKO Romans	LVA	8.52	3RD Prize	. Men's Chen Style-Group E	Wushu Taolu	Emeishan
11	01932	1STAMATOPOULOS Grigorios	GRC	8.51		. Men's Chen Style-Group E	Wushu Taolu	Emeishan
12	03502	BERRY Brett James	ZAF	8.5		. Men's Chen Style-Group E	Wushu Taolu	Emeishan
13	01202	HAUSKA Jiri	CZE	8.47		. Men's Chen Style-Group E	Wushu Taolu	Emeishan
14	01923	PANAGIOTAKIS Dimitrios	GRC	8.3		. Men's Chen Style-Group E	Wushu Taolu	Emeishan
15	04922	WEERASINGHE Jagath Kumara	LKA	8.24		. Men's Chen Style-Group E	Wushu Taolu	Emeishan
1	00910	HU Liqing	CHN	8.71	1ST Prize	. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
2	00925	YAN Haichun	CHN	8.66	2ND Prize	. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
3	05113	TIAN Chunyang	MAC	8.59	2ND Prize	. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
4	03322	TAY Ah Huat	SGP	8.57	3RD Prize	. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
5	02501	BROWN Mitchell Alexander Leon	AUS	8.55	3RD Prize	. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
6	02904	DYBICZ Tomasz Jacek	POL	8.52	3RD Prize	. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
7	04910	HERATH MUDIYANSELAGE Ananda Kumara	LKA	8.5		. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
8	03701	ORICCHIO Alexandre Maximilien Marc	CHE	8.5		. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
9	02807	CORONA AGUILAR Daniel Benjamin	MEX	8.49		. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
10	03107	LOPEZ MORENO Raul	ESP	8.45		. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
11	02606	NIKISINS Aleksejs	LVA	8.42		. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
	00302	AIT-ZERROUK Karim	DZA	(DNS)		. Men's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
1	05112	LON Weng Kam	MAC	8.63	1ST Prize	. Men's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
2	03314	MOHAMMED Ahmad Faizal	SGP	8.58	1ST Prize	. Men's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
3	02510	WU Shao Jie	AUS	8.51	2ND Prize	. Men's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
4	03110	NIÑO ORTEGA Eloy Alberto	ESP	8.51	2ND Prize	. Men's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
5	02502	CHAN Han Yeh	AUS	8.5	3RD Prize	. Men's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
6	02506	LO Wing Kit Albert	AUS	8.5	3RD Prize	. Men's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
7	02108	KARDOS Gabor	HUN	8.46		. Men's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
8	04329	LEHMANN Nicholas Duﬀ	USA	8.44		. Men's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
1	04714	WONG Yu Wen	MYS	8.74	1ST Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
2	03304	DONG Xinyu	SGP	8.71	1ST Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
3	03303	CHENG Kei Win	SGP	8.69	1ST Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
4	02817	LIRA LUNA Javier Arturo	MEX	8.67	2ND Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
5	05006	TABAROV Fotekh	TJK	8.64	2ND Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
6	03805	YERITSYAN Gevorg	ARM	8.62	2ND Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
7	00618	MASCHERPE CUELBAS Joao Pedro	BRA	8.62	2ND Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
8	00901	CAO Shuai	CHN	8.61	2ND Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
9	04338	MANABE Katsumi Derek	USA	8.61	3RD Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
10	02814	LEZAMA LUCERO Luis Antonio	MEX	8.6	3RD Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
11	00706	Devante DARNELL-HAZLE	GBR	8.6	3RD Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
12	02111	NITAS Kevin Janos	HUN	8.6	3RD Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
13	03501	BERRY Adam James	ZAF	8.56	3RD Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
14	02812	GOMEZ RODRIGUEZ Angel Julian	MEX	8.55	3RD Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
15	04001	BELLOUMI Jihed	TUN	8.53	3RD Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
16	00633	TIBIRIÇÁ BATATA Victor Matheus	BRA	8.53	3RD Prize	. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
17	00615	KAZUO GONÇALVES MIYASAKA KauãN	BRA	8.52		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
18	00702	Brandon Lee SANDALLS	GBR	8.52		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
19	01915	LAMPADAS Konstantinos	GRC	8.5		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
20	00402	VERHEYEN Jonathan	BEL	8.48		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
21	02905	DZIECIELSKI Jakub	POL	8.46		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
22	02113	PETOCZ Levente	HUN	8.46		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
23	01908	GKOUMAS Anastasios	GRC	8.41		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
24	00930	YANG Yalin	CHN	8.25		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
25	03516	MONYAMA Maile Elvis	ZAF	8.2		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
	00201	MOHAMMAD SHUAIB Ayubi	AFG	(DNS)		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
	03203	Mame Birane KANE	SEN	(DNS)		. Men's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
1	00607	DE ALMEIDA COSTA Cleu	BRA	8.73	1ST Prize	. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
2	02112	NITAS Laszló Oliver	HUN	8.68	2ND Prize	. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
3	01707	GULISASHVILI David	GEO	8.68	2ND Prize	. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
4	01807	KROETZ Benjamin Fritz Ludwig	DEU	8.64	2ND Prize	. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
5	01209	ROUCKA Michal	CZE	8.57	3RD Prize	. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
6	01513	SIRTO Alessandro	ITA	8.55	3RD Prize	. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
7	00928	YANG Xinhua	CHN	8.55	3RD Prize	. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
8	03305	KALUARACHCHI Devin Tharunuwan	SGP	8.54	3RD Prize	. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
9	04611	SHAIK Aman Pasha	IND	8.45		. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
10	04341	MO Don Hao	USA	8.44		. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
11	03106	GIL ALONSO Marcos	ESP	8.43		. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
12	04353	ULLAH Mohammad Wahid	USA	8.37		. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
13	04605	HUSSAIN Saddam	IND	8.14		. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
14	00501	GAO Sen	BOL	7.94		. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
	00306	BOUTOUBANE Yassine	DZA	(DNS)		. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
	01515	SIRTO Elisabetta	ITA	(DNS)		. Men's Guandao (Kwan Dao)- Group D	Wushu Taolu	Emeishan
1	02002	CHAN Tsz Sa	HKG	8.67	1ST Prize	. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
2	04302	BRAYTON Mariella Tsan-Ling	USA	8.65	1ST Prize	. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
3	04803	MAQUILAN Alessandra May	PHL	8.63	2ND Prize	. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
4	00104	POINT Flora	FRA	8.62	2ND Prize	. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
5	01304	ELLIE SHERIF Magdy Eskander	EGY	8.6	3RD Prize	. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
6	04346	SHAW Phylicia Boxi	USA	8.55	3RD Prize	. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
7	02912	PARADIUK Vanessa Weronika	POL	8.51	3RD Prize	. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
8	04708	KONG Yean Thong	MYS	8.4		. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
9	03024	TECI Alexandra Jasmine	ROU	8.35		. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
10	03011	ILIE Soﬁa Maria	ROU	8.29		. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
11	01002	JIN Yinuo	CAN	8.25		. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
	04106	COKHAMUR Ecrin	TUR	(DNS)		. Women's Other Taijiquan Routines-Group B/C	Wushu Taolu	Emeishan
1	01502	ANNIS Beatrice	ITA	8.57	2ND Prize	. Women's Chen Style- Group C	Wushu Taolu	Emeishan
2	04710	LABONI YONG Poi Qa	MYS	8.52	3RD Prize	. Women's Chen Style- Group C	Wushu Taolu	Emeishan
3	04705	JASLYN TAN Yu Ching	MYS	8.5		. Women's Chen Style- Group C	Wushu Taolu	Emeishan
4	04919	MENDIS AMARASEKERA Samadhee Prathibha	LKA	8.4		. Women's Chen Style- Group C	Wushu Taolu	Emeishan
	04205	KOLISNYK Mariia	UKR	(DNS)		. Women's Chen Style- Group C	Wushu Taolu	Emeishan
1	02404	KUZEMBAY Aiymzhan	KAZ	8.47	1ST Prize	. Women's Yang Style-Group C	Wushu Taolu	Emeishan
2	03004	BELEAN Oana Vasilica	ROU	8.43	2ND Prize	. Women's Yang Style-Group C	Wushu Taolu	Emeishan
3	02702	LEE MO LIN Estelle Shannon Lian Chu	MUS	8.37	3RD Prize	. Women's Yang Style-Group C	Wushu Taolu	Emeishan
4	02701	CHONG CHAP SIN Marie Kim Lan	MUS	8.35	3RD Prize	. Women's Yang Style-Group C	Wushu Taolu	Emeishan
5	02703	SOWARUTH Dishita	MUS	8.33		. Women's Yang Style-Group C	Wushu Taolu	Emeishan
1	03323	TAY Kai Xin Ranice	SGP	8.75	1ST Prize	. Women's Chen Style-Group D	Wushu Taolu	Emeishan
2	05114	WAI Pui Cheng	MAC	8.71	2ND Prize	. Women's Chen Style-Group D	Wushu Taolu	Emeishan
3	02908	KUBIAK Anna Maria	POL	8.68	3RD Prize	. Women's Chen Style-Group D	Wushu Taolu	Emeishan
4	01703	CHIKHLADZE Nino	GEO	8.63	3RD Prize	. Women's Chen Style-Group D	Wushu Taolu	Emeishan
5	01507	FOSSA Enrica	ITA	8.6		. Women's Chen Style-Group D	Wushu Taolu	Emeishan
	00310	TEMIME Kahina	DZA	(DNS)		. Women's Chen Style-Group D	Wushu Taolu	Emeishan
1	00926	YAN Ningning	CHN	8.79	1ST Prize	. Women's Yang Style-Group D	Wushu Taolu	Emeishan
2	02001	AU-YEUNG Pui Yue	HKG	8.76	2ND Prize	. Women's Yang Style-Group D	Wushu Taolu	Emeishan
3	04204	IVANOVA Oryna	UKR	8.75	2ND Prize	. Women's Yang Style-Group D	Wushu Taolu	Emeishan
4	02026	YEUNG Debbie	HKG	8.73	3RD Prize	. Women's Yang Style-Group D	Wushu Taolu	Emeishan
5	03001	ANASTASIU Denisa Ruxandra	ROU	8.71	3RD Prize	. Women's Yang Style-Group D	Wushu Taolu	Emeishan
6	05107	HUNG Si Fan	MAC	8.59	3RD Prize	. Women's Yang Style-Group D	Wushu Taolu	Emeishan
7	04612	SHARMA Abhigya	IND	8.53		. Women's Yang Style-Group D	Wushu Taolu	Emeishan
8	03109	NIÑO GONZALEZ Alba	ESP	8.49		. Women's Yang Style-Group D	Wushu Taolu	Emeishan
9	02704	WONG KAM LAN Jessica Rachel	MUS	8.46		. Women's Yang Style-Group D	Wushu Taolu	Emeishan
1	00917	PAN Qiaoshan	CHN	8.92	1ST Prize	. Women's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
2	00916	LI Na	CHN	8.9	2ND Prize	. Women's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
3	00923	WANG Shiyu	CHN	8.8	2ND Prize	. Women's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
4	00107	ROMERO Shaman	FRA	8.64	3RD Prize	. Women's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
5	00634	VALENTIM UEMOTO Katemann Akemi	BRA	8.59	3RD Prize	. Women's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
6	00626	PAVAN Beatriz Danielle	BRA	8.57	3RD Prize	. Women's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
7	03008	GRINDEANU Sonia	ROU	8.47		. Women's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
8	02608	SAFRONOVA Jekaterina	LVA	8.45		. Women's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
9	01803	HEIDTMANN Anna Paulina	DEU	7.47		. Women's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
	00307	MOHAND SAIDI Katia	DZA	(DNS)		. Women's Other Taijiquan Routines-Group D	Wushu Taolu	Emeishan
1	01705	GABESKIRIA Maka	GEO	8.68	1ST Prize	. Women's Chen Style-Group E	Wushu Taolu	Emeishan
2	00902	CHAO Haiya	CHN	8.65	2ND Prize	. Women's Chen Style-Group E	Wushu Taolu	Emeishan
3	03315	NG Chiew Yen	SGP	8.64	3RD Prize	. Women's Chen Style-Group E	Wushu Taolu	Emeishan
4	04345	ROVIRA-ALVAREZ Nelly Esther	USA	8.61	3RD Prize	. Women's Chen Style-Group E	Wushu Taolu	Emeishan
5	01210	1STANKOVA Marketa	CZE	8.57		. Women's Chen Style-Group E	Wushu Taolu	Emeishan
6	03504	CHRYSOSTOMOU Daniela	ZAF	8.53		. Women's Chen Style-Group E	Wushu Taolu	Emeishan
7	03405	KLEJCHOVÁ Michaela	SVK	8.51		. Women's Chen Style-Group E	Wushu Taolu	Emeishan
1	02301	ENDO Tamami	JPN	8.67	1ST Prize	. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
2	00924	WANG Zhong	CHN	8.65	2ND Prize	. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
3	02307	OKUBO Tomomi	JPN	8.58	2ND Prize	. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
4	00109	TRAN CONG Francine	FRA	8.51	3RD Prize	. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
5	04410	PHAM Thi Huong	VNM	8.5	3RD Prize	. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
6	02417	ZHIGALKINA Tatyana	KAZ	8.5	3RD Prize	. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
7	03702	ZHU-HIPTMAIR Guirong	CHE	8.48		. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
8	04367	YANG Lili	USA	8.47		. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
9	02311	UEDA Mikiko	JPN	8.43		. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
10	00508	PINEDO SORUCO Cecilia Esperanza	BOL	8.24		. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
	00614	GUEDES Marta Denise	BRA	(DNS)		. Women's Other Taijiquan Routines-Group E	Wushu Taolu	Emeishan
1	05105	CHEONG Lao Leng	MAC	8.8	1ST Prize	. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
2	02303	HAYASHI Kyoko	JPN	8.75	1ST Prize	. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
3	03906	PAVLENKO Elena	KGZ	8.66	2ND Prize	. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
4	01408	DE SALES SOARES DE MELO Cristina	PRT	8.62	2ND Prize	. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
5	05106	HO Lai Sim	MAC	8.6	3RD Prize	. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
6	02511	ZASLAWSKI Louise Edna Anne	AUS	8.52	3RD Prize	. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
7	04402	DINH Thi Thuy Lan	VNM	8.49	3RD Prize	. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
8	02509	SIN Shuet Yee	AUS	8.48		. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
9	01809	YE Kanglian	DEU	8.45		. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
10	03514	MC CARDLE Candace Jane	ZAF	8.43		. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
11	02504	KHOO Cheng Choo	AUS	8.35		. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
	05101	CHAN I Lo	MAC	(DNS)		. Women's Other Taijiquan Routines-Group F	Wushu Taolu	Emeishan
1	03105	GARCIA MAZUECOS Francisco	ESP	8.8	1ST Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
2	02401	BABENKO Alexey	KAZ	8.75	1ST Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
3	04613	SINGH Lokender	IND	8.72	2ND Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
4	02115	SZATAI Zoltan	HUN	8.71	2ND Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
5	00606	DA SILVA CAPELAZZO Anthony	BRA	8.66	2ND Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
6	05004	KHURSHEDZODA Mirzodalerkhon	TJK	8.66	2ND Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
7	02911	MURSZEWSKI Maksymilian Grzegorz	POL	8.65	2ND Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
8	03003	BARICA Florin Alexandru	ROU	8.63	3RD Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
9	04003	ESSID Ahmed	TUN	8.61	3RD Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
10	02825	SANCHEZ ROCHA Hugo Aurelio	MEX	8.6	3RD Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
11	05115	YUEN Kam Weng	MAC	8.59	3RD Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
12	03513	KUKARI Bonham Jayden Jimmy	ZAF	8.58	3RD Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
13	00604	BORGES COUTINHO GALLO Iuri	BRA	8.57	3RD Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
14	00705	Daniel John Joseph SHAW-ABULAFIA	GBR	8.55	3RD Prize	. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
15	01207	MIRATSKY Jakub	CZE	8.53		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
16	04109	KESKIN Ahmet Taha	TUR	8.52		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
17	01315	MOUSTAFA MOUSTAFA Abbas Abbas	EGY	8.5		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
18	02917	WILCZYŃSKI Maciej BartłOmiej	POL	8.49		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
19	00102	GU Nicolas	FRA	8.48		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
20	03512	JALI Khayelihle Goodenough	ZAF	8.47		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
21	01417	TOMÁS BARROSO Tiago	PRT	8.46		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
22	04921	THENNAKOON MUDIYANSELAGE Avishka Prasad Thennakoon	LKA	8.45		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
23	03009	HASIEGANU Victor	ROU	8.42		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
24	02913	PAWŁOWICZ Mateusz Robert	POL	8.41		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
	03804	MURADYAN Aram	ARM	(DNS)		. Men's Gun (Cudgel/Staﬀ) -Group D	Wushu Taolu	Emeishan
1	00931	YANG Zhiwei	CHN	8.9	1ST Prize	. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
2	04515	ZVIRIN Jonathan	ISR	8.7	1ST Prize	. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
3	02413	TRAIZE Arstan	KAZ	8.67	2ND Prize	. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
4	04304	BRAYTON Mason Tsan-Ming	USA	8.66	2ND Prize	. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
5	04111	YALKIN Osman	TUR	8.6	2ND Prize	. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
6	01508	GAMBINO Michele	ITA	8.59	3RD Prize	. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
7	01519	ZEDDA Ivo	ITA	8.56	3RD Prize	. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
8	01506	DI BENEDETTO Claudio	ITA	8.55	3RD Prize	. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
9	04369	ZHANG Alex Mushan	USA	8.53	3RD Prize	. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
10	02602	GORSKIS Aleksandrs	LVA	8.51	3RD Prize	. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
11	00621	MOREIRA DE ARAÚJO Fabio	BRA	8.49		. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
12	02808	CORREA IXTEPAN Diego Armando	MEX	8.49		. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
13	00703	Cam'Ron Yiu Fung TSANG	GBR	8.48		. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
14	03803	AYDINYAN Aram	ARM	8.46		. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
15	02811	FLORES PACHECO Jonathan Eber	MEX	8.45		. Men's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
